"SpeciesID","GenusID","Species","SAuthor","NameDK","NameUK","SBiolEuDK","SBiolEuUK","SCharDK","SCharUK","MSize","FSize","SHabEuDK","SHabEuUK","SHabDkDK","SHabDkUK","SDistriEuDK","SDistriEuUK","SDistriDkDK","SDistriDkUK"
25,4,"electus","(C. L. Koch, 1839)",,,,,"<i>Zelotes electus</i> har grundet de relativt kraftige ben et karakteristisk robust udseende. Arten er også speciel ved at have en meget kompakt øjegruppe, hvor de forreste midterøjne er sammenhængende med de forreste laterale øjne. Som hos andre <i>Zelotes</i> og <i>Zelotes</i>-lignende arter er benenes pigmentering en god hjælp i artsbestemmelsen. <i>Zelotes electus</i> er kendetegnet ved at have lysebrune, apikalt mørke femora, mørke patella, mørke tibia, mellembrune metatarsi og lysebrune tarsi.","<i>Zelotes electus</i> has stout legs compared to other <i>Zelotes</i> species and therefore appear robust. The species is also characterised by compactly grouped eyes, where the anterior medials are contiguous with the anterior laterals. The pigmentation of the legs aids in distinguishing the species in this genus as well as for a few closely related genera. <i>Zelotes electus</i> has femora brown but darkened apically, dark patella, dark tibia, brown or orange metatarsi and tarsi.","3.5-4.5","4-5.5","Klitter og klitheder med laver og blotlagt sand. Ses jævnligt løbe omkring i solskin.","Locally common in coastal dunes with lichens and low vegetation sometimes also further inland. The spider is frquently seen running about in sunshine.",,,"Arten er lokalt almindelig ved kysterne, hvor der er egnet habitat. Undertiden træffes den også i sandede områder i indlandet.","Locally common in coastal areas such as dunes and other sandy habitats with low vegetation and stones. Sometimes the species is also found in dunes away from the coast.",,
26,4,"apricorum","(L. Koch, 1876)",,,,,,,,,,,,,,,,
27,4,"subterraneus","(C. L. Koch, 1833) ",,,,,"Denne art ligner <i>Z. latreillei</i> til forveksling, men er gennemsnitlig en anelse større. Arterne kan kun adskilles under stereolup.","Very similar to <i>Z. latreillei</i>, but is on the average, slightly larger. Microscopic examination is needed for proper species identification.","5-6","6.5-9","Tørre steder med lav vegetation samt lysåbne skove på sandbund.","Dry places with low vegetation and open forests.",,,"Måske den almindeligste art i slægten, kendt fra alle landsdele. Vidt udbredt i Europa.","Probably the most common species of the genus in Denmark with records from all districts. Widespread in Europe.",,
29,5,"nigerrima","L. Koch, 1877",,,,,,,,,,,,,,,,
31,5,"leporina","(L. Koch, 1866)",,,,,"Hele edderkoppen fremtræder brun med bagkrop og ben lysere ned forkroppen. Slægtens to andre danske art, <i>G. nigerrima</i> og <i>G. bicolor</i>er til sammenligning henholdvis sorte, sidstnævnte med røde ben.","Overall brownish with cephalothorax darker than the abdomen and legs.","5.5-7","7-9","Fugtig hede.","Moist heather.",,,"I Danmark kun kendt fra Jylland. Ret sjælden men dog almindeligere end <i>G. nigerrima</i>, som kun er kendt fra Østjylland. Arten er vidt udbredt i Europa men lokal.","Only in western parts of Denmark. Widespread in Europe, but local.",,
35,8,"braccatus","(L. Koch, 1866) ",,,,,,,,,,,,,,,,
36,9,"nocturna","(Linnaeus, 1758) ",,,,,,,,,,,,,,,,
38,10,"subopaca","Westring, 1861","Bark myre-edderkop","Pine-tree ant-spider",,,"Lille <i>Micaria</i> art. Forkrop mørkebrun, relativt sparsomt behåret med hvide hår. Bagkrop blåsort, metalskinnende med en enkelt skarptaftegnet hvid tværlinie som er brudt på midten. Ben brune, undtagen femora der er mørke. Femora  på de to bagerste benpar har tydelige lyse længdestriber.",,"2.5-3","2.8-3.3","Solbeskinnede træstammer i fyrre- og granskove, undertiden også på stammer af fritstående og allé træer.",,,,"Vidt udbredt i Danmark men meget lokal. Ret sjælden i Mellemeuropa. Hvor den forekommer kan den undertiden være talrig.",,,
39,10,"silesiaca","L. Koch, 1875","Sand myre-edderkop","Sand ant-spider",,,,,,,,,,,,,,
40,10,"pulicaria","(Sundevall, 1831)","Almindelig myre-edderkop","Glossy ant-spider",,,"Hoved sort med hvide linier udgående fra fovea i forskellige retninger og med moderat metalglans. Bagkrop sort med kraftig metalglans og et par tværgående hvide linier dorsalt. Bagerst tre hvide pletter i langsgående række. Femora I og II er sorte, mens femora III og IV er mørkebrune.","Head black with radiating white lines. Iridescense less pronounced compared to the highly iredescent abdomen. There are two transverse, white lines on the abdomen, followed by three dots. Femora I and II are black, while femora III and IV are dark brown.","3-3.5","2.7-4.5","Varme tørre steder i mange habitat typer, undertiden også haver.","Dry and sunny places in a variety of situations, including gardens.",,,"Vidt udbredt i Danmark og Europa og generelt almindelig i egnede habitater.","Widespread in Denmark and Europe and generally common in suitable habitats.",,
41,10,"fulgens","(Walckenaer, 1802) ","Skovmyre-edderkop","Purple ant-spider",,,"Stor, grålig og ret buttet <i>Micaria</i> art. Forkrop mørkebrun med grå hår på forkroppen bortset fra hovedregionen der er beklædt med metalskinnende hår som alt efter lyset har glans i gule eller røde farver.",,"4.5-5.5","4.5-6","Tørre, sandede steder gerne med lyng, hvor arten kan sigtes fra solbeskinnet førn. I Mellemeuropa ses arten også i stenede områder og i fyrreskove , herunder skovkanter.",,,,"Ret sjælden i Danmark med fund fra Østjylland, hvor arten blandt andet træffes i Salten Langsø området og på Samsø. Arten er også fundet i nordvest Sjælland. Mere almindelig i Mellemeuropa.",,,
44,10,"dives","(Lucas, 1846)","Juvel myre-edderkop","Jewel ant-spider",,,,,,,,,,,,,,
45,11,"corticalis","(Walckenaer, 1802)",,,,,"Samme bagkropstegninger med mørkt hjertemærke og sildebensmønster som hos <i>C. compta</i>, men farven er mørkere, nærmest brunlilla. <i>Clubiona corticalis</i> er også betydeligt større end <i>C. compta</i>. Arten bør derfor ikke kunne forveksles med andre <i>Clubiona</i> arter.","Same abdominal markings as in <i>C. compta</i>, but darker and the spider is much larger. The distictive appearance separates this species from all other  <i>Clubiona</i> species.","6-10","7-10","Under bark af træer, ofte sidder retræter fra mange individer tæt sammen.","Under the bark of trees, sometimes retreats of many specimens close together.",,,"Lokalt almindelig på Sjælland, meget sjælden i Jylland. Vidt udbredt i Europa, og almindeligere mod syd.","In Denmark, locally common in eastern parts, very rare in western parts. More common in countries to the south of Denmark.",,
46,11,"reclusa","O. P.-Cambridge, 1863",,,,,,,,,,,,,,,,
47,11,"subsultans","Thorell, 1875",,,,,"Gyldenbrun bagkrop med tydeligt mørkere hjertemærke.","Goldenbrown abdomen with with well-defined, dark cardiac mark.","4-7","5-7","Bag bark, i mos og under sten i lysåbne skove.","Under loose bark, in moss and under stones in open forests.",,,"Ikke særlig almindelig i Danmark men registreret i de fleste landsdele. Vidt udbredt i Nord- og Mellemeuropa og ret almindelig syd for Danmark.","Rather uncommon but widespread in Denmark. Widespread in northern and central Europe and commoner to the south of Denmark.",,
49,11,"norvegica","Strand, 1900",,,,,,,,,,,,,,,,
50,11,"caerulescens","L. Koch, 1867",,,,,,,,,,,,,,,,
51,11,"pallidula","(Clerck, 1757) ",,,,,"Nok den største og mørkeste danske<Clubiona</i> art. Bagkrop mørk lilla brun og uden mønster.","Largest and darkest <Clubiona</i> species in Denmark. The abdomen is dark purplish-brown without markings.","6-8","7-11","På buske og træer  i skove, parker og haver.","Bushes and trees in forests, parks and gardens.",,,"Kendt fra hele Danmark, men lokal. Vidt udbredt i Europa men ikke særlig almindelig.","Widespread in Denmark and Europe, but local.",,
53,11,"terrestris","Westring, 1851",,,,,"Bagkrop rødbrun med mørkere hjertemærke. Forkrop gulbrun med hovedområdet en anelse mørkere.","Abdomen reddish-brown with darker cardiac mark. Carapace is yellow-brown with head region slightly darker.","5-6","6-7","Forekommer i mange fortrinsvis tørre naturtyper, inklusiv haver, i førn, under sten, og bag bark.","In a variety of mainly dry situations, including gardens. In leaf litter, under stones and under loose bark.",,,"En af slægtens almindeligste arter. Vidt udbredt i Europa.","One of the commonest species of the genus. Widespread in Europe.",,
54,11,"neglecta","O. P.-Cambridge, 1862",,,,,,,,,,,,,,,,
55,11,"frisia","Wunderlich & Schuett, 1995",,,,,"Arten er først for nyligt blevet udskilt fra den nærtstående <i>C. similis</i> som dog ikke forekommer i Danmark. <i>Clubiona frisia</i> er den lyseste sækspinderart vi har i Danmark, ofte har den samme farve som en skrællet kartoffel, dog med lidt mørkere hjertemærke. Det blålige skær som ses på et af billederne nedenfor er nok et artefakt fra blitzbelysningen.","The species has recently been described as a new species from <i>C. similis</i> which does not occur in Denmark. Except for a sligtly darker cardiac mark, <i>C. frisia</i> is of the same colour as a peeled potato, and thus the lightest coloured <i>Clubiona</i> species occurring in Denmark. The bluish tinge seen on one of the pictures below is probably an artefact caused by the flash light.","5-6","5-7","Marehalmstuer i i kystnære klitter og på strandvolde.","Marram tussocks along coasts.",,,"Arten er meget almindelig i klitterne langs den jyske vestkyst. Optræder noget sjældnere langs vores andre kyster, og så vidt jeg ved træffes den ikke i indlandet. Vidt udbredt i Nordeuropa, hvor arten også træffes i andre habitater.","<i>Clubiona frisia</i> is very common i along the west coast of Denmark, and less common along other Danish coasts. As far as I know this species does not occur at inland sites in Denmark. Widespread in Northern Europe where it can be found away from the coast as well.",,
56,11,"lutescens","Westring, 1851",,,,,"Ret mørk, ensfarvet bagkrop i gul- eller rødbrun nuance. Hannen har en betydeligt slankere bagkrop end hunnen. Ligner meget den almindelige <i>C. terrestris</i>.","Rather dark with the abdomen uniformely coloured yellowish to reddish-brown. Male much slimmer than female. Similar general appearance to <i>C. terrestris</i>.","4-6","6-8","På vegetation i fugtige skove og enge, findes også i moser.","On herb vegetation, trees and bushes in damp forests and meadows, also found in bogs.",,,"Almindelig i Nord- og Mellemeuropa, herunder Danmark.","Widespread and common in Denmark and most of Europe.",,
57,11,"comta","C. L. Koch, 1839",,,,,"Denne art har et karakteristiskt rødbrunt hjertemærke og sildebenstegning på bagkroppen. En almindelig art som kun kan forveksles med <i>C. genevensis</i>, som dog er meget sjælden i Danmark. Samme bagkropstegning findes også hos <i>C. corticalis</i>, men her er grundfarven noget mørkere, og denne art er næsten dobbelt så stor som <i>C. compta</i>.","The abdomen has a  reddish- brown cardiac mark followed by chevrons. This is a commom species which only resemble <i>C. genevensis</i>, a much rarer species in Denmark. The same abdominal markings are also characteristic for <i>C. corticalis</i>, but the pattern is made of a darker colour and this species is almost twice as big  as  <i>C. compta</i>.","3-5","3.5-6","På blade af træer og buske og under bark.","Trees and bushes, alse under bark.",,,"Almindelig i Danmark og resten af Europa.","Common throughout Denmark and Europe.",,
58,11,"brevipes","Blackwall, 1841",,,,,,,,,,,,,,,,
59,11,"trivialis","C. L. Koch, 1843",,"Northern sac-spider","Ret lille sækspinder art som om dagen kan findes i retræter på undersiden af af nederste grene på nåletræer og i lyngbuske (Nielsen, 1928). I retræterne ses undertiden let indspundne æg. Som det er tilfældet hos flere Clubiona arter findes retræter ofte flere sammen, undertiden helt eller delvist oven på hinanden.","A fairly small sac spider which during the day can be found in silken sacs on the underside of the lower branches of conifers and on heather (Nielsen, 1928). Sometimes the female is found inside the sac guarding an eggsack wrapped in loosely wowen silk. As often is the case with Clubionids, many retreats may be found together, sometimes touching each other.","Hunnens forkrop gullig til lyst orangebrun. Ben lyst gulbrune. Bagkroppen er ensfarvet rødbrun, undertiden med svagt mørkere hjertemærke. Bagkroppen er beklædt med korte lyse hår. Hannen meget lig hunnen men gennemsnitlig en halv millimeter kortere. Palpens tibial apophyse er spadeformet og sort.","Female carapace yellowish or light orange brown. Legs light yellow-brown. Chelicerae brown. Dorsum of abdomen uniformly reddish brown sometimes with a slightly darker or lighter cardiac mark. Abdomen with short, light pubescence. Spinners yellow. Legs and sternum light brownish, in recently moulted specimens pale grey. Male similar to female but on the average 0.5 mm shorter. The palpal tibial apophysis is formed like a spade and is blackish.","3.3-3.9","3.6-4.6","På blade og grene af nåletræer og ved basis af urter og halvbuske, i førn og under sten. Arten er også kendt fra tørvemoser.","Foliage of mainly pines and at the basis of low deciduous shrubs such as heather. The species is also found at ground level under stones and in leaf litter.","På blade og grene af nåletræer og ved basis af urter og halvbuske, i førn og under sten.","Foliage of mainly pines and at the basis of low deciduous shrubs such as heather. The species is also found at ground level under stones and in leaf litter.","Stort set alle temperede egne på den nordlige halvkugle","Temperate regions of the northern hemisphere.","I Danmark er arten hovedsageligt knyttet til tørre, sandede områder både ved kysterne og i indlandet, og er især almindelig i klitnaturtyper og områder med nåletræer, oftest lysåbne skovtyper domineret af fyr. Kendt fra hele landet.","In Denmark primarly dry, sandy areas both inland and coastal. Particularly common in various dune types and areas with conifers, often open forsts dominated by pines. Distributed throughout Denmark"
61,11,"genevensis","L. Koch, 1866",,,,,,,,,,,,,,,,
62,11,"diversa","O. P.-Cambridge, 1862",,,,,"En lidt buttet <i>Clubiona</i> med en varm gulligfarvet bagkrop der har en rødlig midterlinie og bagkropsspids. Han og hun er næsten ens.","Rather plumb <i>Clubiona</i> with the sexes almost similar. The abdomen is  yellowish-orange, except a reddish midline and reddish tip.","3-4","4-5","I Danmark har jeg truffet denne art i kystklitter og på heder. I Europa kendes den også fra kalkoverdrev og moser.","I Denmark this species is fairly common in coastal dunes and heathland. In Europe also chalk grassland, and boggy areas.",,,"Lokalt almindelig i det meste af Danmark, vidt udbredt i Europa.","Locally common in most of Denmark, widespread in Europe.",,
63,11,"subtilis","L. Koch, 1867",,,,,"En ret lille art med iøjnefaldende mørkere forkrop. Bagkrop gulbrun med mørkere hjertemærke, nogle gange kontrasterende rødbrunt, andre gange kun svagt mørkere end resten af bagkroppen.","A rather small species with the cephalothorax much darker than the abdomen which is yellowish-brown. Sometimes the cardiac mark is contrasting reddish-brown, at other timer it much less well-defined.","2.5-3","3-4.5","Fugtigt mos og i lav vegetation på primært kystnære lokaliteter.","Among mos and low vegetation in damp, mainly coastal habitats.",,,"Ret almindelig i Danmark og Nordeuropa. Alle mine danske fund er fra kystnære lokaliteter. Arten er sjældnere i Mellemeuropa.","Widespread and fairly common in Denmark and Northern Europe. Apperently rarer in central Europe.",,
64,288,"erraticum","(Walckenaer, 1802)",,,,,"Lysebrun, sparsomt behåret forkrop. Bagkroppen har grålige sider med et bredt lysegult midterbånd, som omslutter en mørkerød midtstribe. Ben af samme farve som forkroppen. Hannen er lidt mindre, spinklere og med klarere farver.  De meget synlige retræter anlægges i toppen af eksempelvis græsser og lyngbuske og her vil man meget ofte kunne finde edderkoppen gemt i dagtimerne.","Light brown cephalothorax, sparsesly covered by thin light hairs. The abdomen has greyish sides and a wide ligth yellow median band enclosing a purple red median stripe. Legs are light brown. Males are smaller and slimmer than females, and with a clearer colouration. Retreats are built in the top of vegetation such as grasses and heather. The spider spend the daytime in the retreat which is also used for oviposition.","5-6","7-8","Varme, mest tørre steder med høje græsser, urter og dværgbuske, såsom heder, overdrev og enge.","Warm, mostly dry places with tall grasses and weeds or dwarf shrubs such as grass- and heathland.",,,"Almindelig i Danmark og det meste af Nord- og Mellemeuropa.","Common throughout Denmark and most of Northern and Central Europe.",,
65,288,"pennyi","O. P.-Cambridge, 1873",,,,,,,,,,,,,,,,
66,288,"virescens","(Sundevall, 1833)","Grøn pighånd",,,,"Forkrop og ben lysebrune med svagt grønligt skær. Bagkrop lyst grønlig brun uden mønster, men med svagt hjertemærke. Ægsæk anlægges under sten. Denne art ligner <i>C. campestre</i> til forveksling og de to arter kan kun adskilles ved at undersøge kønsorganerne under stereolup. <i>Cheiracanthium campestre</i> er meget sjælden i Danmark men er muligvis i nogle tilfælde forvekslet med <i>C. virescens</i>.","Ligth brown carapace and legs, sligtly greenish. Abdomen light greenish-brown without markings except for faint cardiac mark. The eggsacks are found under stones. The species is very similar to <i>C. campestre</i> in general appearance and microscopic examination of the genitialia is needed to separate the species.  <i>Cheiracanthium campestre</i> is a very rare species in Denmark, but in some instances specimens may have been misidentified as <i>C. virescens</i>.","5-7","5-9","På vegetation eller under sten på tørre, sandende arealer såsom klitter og strandoverdrev.","On vegetation or under stones in dry, sandy places such as dunes and coastal grassland.",,,"Vidt udbredt i Danmark og Europa men ret sjælden.","Widespread in Denmark and Europe but uncommon.",,
69,13,"brunnea","(Blackwall, 1833) ","Felampespinder",,,,"Den største art i slægten. Forkrop rødbrun med gyldne hår. Bagkroppen gylden rødbrun og lidt glinsende, noget lig <i>A. proxima</i> som også overlapper i habitat, men dog er tydeligt mindre. Artens danske navn, felampespinder, kommer af de meget karakteristiske ægkokoner som ligner et vinglas som hænger på hovedet. Kokonerne placeres rundt omkring i vegetationen, og ses oftere end selve edderkoppen. Kokonerne kan være snehvide eller camoufleret med jord, og derfor jordfarvede.","The largest species of the genus. Carapace reddish-brown with golden hairs, and dark markings. Abdomen golden reddish-brown somewhat shiny. Similar to <i>A. proxima</i> which overlap in habitat but is smaller. The eggsacks are very characteristic and look like small inverted wineglasses placed in the vegetation, and are encountered more frequently than the spider itself. The eggsacks may be snowy-white or camouflaged with earth, thereby much less conspiceous.","6-7","7-8","Fugtige eller tørre skovkanter, skove, hedemoser, moser og tørre områder med lav vegetation.","Damp or dry places with low vegetation, usually near or within forests, sometimes also moors and grassland.",,,"Ret sjælden i Danmark med flest forekomster i Jylland. Sjældnere end <i>A. proxima</i>. Vidt udbredt i Europa, nogle steder hyppigere end <i>A. proxima</i>.","Rather rare in Denmark with most records from Jutland. Widespread in Europe, but generally uncommon.",,
70,13,"lusatica","(L. Koch, 1875)",,,,,"Arten er en anelse større end den nærtbeslægtede <i>A. proxima</i>, som også træffes i klitter, typisk dog lidt længere inde end <i>A. lusatica</i>. De to arter afviger også i farve, hvor bagkroppens grundfarve er kobberfarvet hos <i>A. lusatica</i> vekslende med blygrå tegninger, mens den er ret ensfarvet orangebrun hos <i>A. proxima</i>.","<i>Agroeca lusatica</i> is slightly larger than its close relative <i>Agroeca proxima</i>, which is found in the same habitat however usually slightly further inland.","5-6","6-7","I Danmark kun kystnære klitter. I Europa også i skovområder.","In Denmark this species is only known from coastal dunes. In Europe it is also associated with woodland.",,,"<i>Agroeca lusatica</i> har en yderst lokal udbredelse i Danmark, og er kun kendt fra nogle få klitlokaliteter i Nymindegabområdet, hvor den dog kan være ret talrig. Lokal og sjælden i Nord- og Mellemeuropa.","<i>Agroeca lusatica</i> is rare in Denmark and only recorded from a small number of coastal dunes in southwest Denmark. The species may be quite numerous where it does occur. Uncommon in northern and central Europe.",,
71,13,"proxima","(O. P.-Cambridge, 1871)",,,,,"Ligner <i>A. brunnea</i> en del men er mindre. Ægkokon betydelig smallere, nærmest lancetformet, og derfor noget anderledes end kokonen hos <i>A. brunnea</i>.","Rather similar to <i>A. brunnea</i> but smaller. The eggsack is much narrower than that of <i>A. brunnea</i>.","4-5.5","5.5-7.5","Primært heder og klitter, men undertiden også i samme habitat som <i>A. brunnea</i>.","Primarily heather and coastal dunes, but sometimes also in the same habitat as  <i>A. brunnea</i>.",,,"Den almindligste danske art i familien, og er kendt fra næsten alle landsdele. Vidt udbredt i Europa.","In Denmark this is the commonest species of the family. Widespread in Denmark and much of Europe.",,
74,14,"striata","(Kulczynski, 1882)",,,,,,,,,,,,,,,,
75,15,"celans","(Blackwall, 1841)",,,,,"Hannen har en betydeligt mindre bagrop end hunnen, og er derfor noget mindre. Arten har karakteristiske lyse laterale bånd såvel som et lyst midterbånd og kan derfor på afstand minde om jagtedderkoppe unger fra <i>Pardosa</i> slægten. Bagkroppen er rødbrun og har karakteristiske Liocranide tegninger med blygrå rækker af skråtstillede streger, som dog er noget utydelige hos hannen.","The male has much smaller abdomen than the female, and is therefore overall smaller. The cephalothorax has characteristic light median and lateral bands, and may at distance resemble immature Lycosids of the genus <i>Pardosa</i>. The abdomen is reddish-brown, and the markings are typical of the Liocranidae, with grey chevrons. These are however, rather obscure for the male.","2.5-3","4-5","Fugtig mos, førn og tuer i lyngbakker og skovkanter.","Damp moss, leaf litter and tussocks on juniper heathland, forest edges and forest clearings.",,,"Fundet første gang i Danmark i 2005 på en midtjysk hedebakke. Vidt udbredt i Europa","In Denmark this species was recorded for the first time in 2005 in central Jutland heathland. Widespread in Europa.",,
76,15,"gracilipes","(Blackwall, 1859) ",,,,,"Samme forkropstegninger som hos <i>S. celans</i>, men de lyse laterale bånd og midterbånd er betydeligt mørkere, og derfor mindre fremtrædende. Det bevirker at rygskjoldet opleves ensfarvet mørk. Rygskjoldet er endvidere meget blank hos denne art. Bagkrop ligeledes mørkere end hos <i>S. celans</i> med svagt synlige tegninger. Samme farvefordeling på benene som hos <i>S. celans</i> men generelt lidt mørkere og skinnende. De mørke segmenter på de bagerste benpar er med svage ringtegninger.","Carapace with same markings as <i>S. celans</i> with median and lateral bands. However, these bands are much darker and the carapace appear uniform dark.Carapace is somewhat shinier than that of <i>S. celans</i>. The abdomen is also darker with obscure chevrons. The colouration of the legs are also generally similar to that of <i>S. celans</i> but the dark segments are darker, almost black in legs I and II, as well as shinier. Rear legs have annulated appearance.","2.5-3.5","2.5-3.5","Tørre, sandede steder, såsom klitter, indsande og heder.","Dry sandy places such as coastal and inland dunes and heathland.",,,"Mest udbredt i Jylland men også kendt fra Sjælland og Bornholm. Vidt udbredt i Nordeuropa.","In Denmark mainly known from Jutland, but the species is also recorded from Zealand and the island of Bornholm. Widespread in Europe.",,
78,16,"fuscus","Westring, 1851 ",,,,,,,,,,,,,,,,
79,17,"rupicola","(Walckenaer, 1830) ",,,,,"Forkrop rødlillabrun med tandede laterale bånd og mørk stribe langs margen. Bagkrop rødlillabrun med tydelig grå hjertemærke bagved hvilken skråtstillede streger danner v-mønstre flankeret af mørke pletter og streger. Ben svagt annulerede.","Carapace is purplereddish-brown with dentate lateral bands and dark margins. The abdomen is of the same colour with a dark grey cardiac mark followed by chevrons all of which are flanked with dark spots. Legs are greyish-brown annulated with dark grey.","5.5-6","6-8.5","Under sten på tørre, stenede steder og klippekyster.","Under stones in dry conditions.",,,"I Danmark er arten kun kendt fra Bornholm. Vidt udbredt i Europa og mere almindelig i landene syd for Danmark.","In Denmark this species is only known from the Island of Bornholm, an island with lots of rocks and boulders.",,
