"FamilyID","SortOrder","GenusID","Genus","NoGenusSpecies","GAuthor","G_N_D","GNameDK","GNameUK","GenusDK","GenusFO","GenusGL","GenusAZ","GCharactersDK","GCharactersUK","GBiologyEuDK","GBiologyEuUK","GBiologyDkDK","GBiologyDkUK","GBiologyFoDK","GBiologyFoUK","GBiologyGLDK","GBiologyGLUK","GBiologyAzUK","GTaxNoteDK","GTaxNoteUK"
"16","1","11","Clubiona","62","Latreille, 1804","0","","Leaf curling sac spiders","1","1","0","1","Kompakte, små til mellemstore edderkopper med oval forkrop og let fremspringende hoved. Øjenene sidder  i to rækker, den bagerste række er bred med alle øjne runde. Det kan godt virke som om der er seks øjne i den forreste række, da begge rækkers laterale øjne er ret tæt på hinanden.  Arterne er sparsomt behårede, og for det meste med ensfarvede bagkroppe i gule, orange eller brune farver, sommetider med mørkere hjertemærke. Ganske få arter har et karakteristisk sildebensmønster længere tilbage på bagkroppen. Spinder sækformede retræter, der kan være åbne i begge ender eller lukkede, og som anlægges i sammenrullede løvblade, sammenbøjede græsblade, eller bag bark og under objekter på jorden. Sækspinderne er nataktive, og opholder sig om dagen i retræterne, som også benyttes til hudskifte, parring, æglægning og overvintring. De benytter ikke fangspind. Nogle arter er vanskelige, at adskille uden brug af stereolup.","Compact, small to medium sized spiders with oval cephalothorax and slightly protruding, broad head. There are two rows of eyes, the eyes of the posterior row widely set apart. It may appear as there are six eyes in the front row since the laterals of both rows are fairly close together. Anterior row recurved. Posterior row straight or slightly recurved. Fovea short, dark and shallow but quite indistinct in species with relatively dense silky hairing on carapace. Labium longer than wide. Maxilla with scopulae. Endites without a transverse or oblique depression. Legs long with leg IV longest. Tarsi with conspicuous scopulae, two-clawed (claws long). Abdomen elongate with sparse to rather dense coverage of silky hairs depending on species. Hues of yellow, orange and brown are the prevailing body colours, sometimes the cardiac mark is darker. A few species have the cardiac mark followed by chevrons. Anterior spinners conical and and situated close together or contiguous. The two sexes do not differ much. Compared to females, males are slightly smaller, often with chelicerae longer and more tapering and the legs are relatively longer.","","Members of this genus spin sack-like retreats either  open or closed at the ends under loose bark, under objects on the ground, and in rolled leaves or in folded grass leaves. Nocturnal spiders that spend the daytime in the retreats which are also used for mating, oviposition, moulting and wintering. They do not use webs for prey catching. Some species are difficult to identify without microscopic examination of the genitals.","","","","There is just one fairly common Faroese species, <i>Clubiona trivialis</i> which cannot be mistaken for any other species on the islands.","","","","",""
"17","1","13","Agroeca","10","Westring, 1861","0","","","1","0","0","0","Forkrop har normalt ret tydelige markeringer i form af nogle mørke, kantede løkker som udgår fra fovea.  Bagkrop med utydeligt v- eller w-formet mønster eller mørke, skråtstillede pletter i rækker eller tværbånd. Bagerste øjenrække tydeligt fremadbøjet. Metatarsus i og II med tre par ventrale torne. De tre danske arter kan adkilles på bagkroppens grundfarve og kropslængden.","The carapace usually with clear markings in the shape of characteristic angular loops radiating from the fovea. The abdomen with vague v- or w-shaped pattern or dark oblique spots or bars arranged in rows. The posterior row of eyes markedly procurved. Metatarsus I and II with three pairs of ventral spines. The Danish species can be identified in the field by their bodycolour and size.","","","","","","","","","","",""
"17","2","14","Liocranoeca","3","Wunderlich, 1999","0","","","0","0","0","0","","","","","","","","","","","","",""
"17","3","15","Scotina","4","Menge, 1873","0","","","1","0","0","0","Ret små edderkopper med seks til ti par ventrale torne på tibia I som tydeligt ses med en floralup. Forkroppen er noget mørkere end hos familiens øvrige slægter og noget blank. Arterne findes ved jordoverfladen i mos og under visne plantedele.  Femora er lysebrune, mens resten af leddene udadtil er mørkere, især forrest på edderkoppen. De to danske arter adskilles let på deres udseende.","These are small spiders with six to ten pairs of ventral spines easily visible with a lens. The cephalothorax is darker than in the other genera of the family and shiny. The species are found at ground level among moss and detritus. The femora of the legs are light brown while more distal segments are darkened, particularly for the first pairs of legs. The two Danish species are easily separable by their markings.","","","","","","","","","","",""
"17","4","16","Apostenus","7","Westring, 1851","0","","","0","0","0","0","","","","","","","","","","","","",""
"17","5","17","Liocranum","11","L. Koch, 1866","0","","","0","0","0","0","Ret store Liocranider med ret bred øjengruppe og derfor nogen lighed med Clubionidae. Bagerste øjerække let tilbagebøjede.","These spiders are the largest representatives of the family in the region. The eye group is wider than in tte remaining genera and therefore the spiders resemble species of Clubionidae.","","","","","","","","","","",""
"30","18","19","Pholcomma","1","Thorell, 1869","0","","","1","0","0","0","","","","","","","","","","","","",""
"30","19","20","Theonoe","5","Simon, 1881","0","","","1","0","0","0","","","","","","","","","","","","",""
"32","1","21","Theridiosoma","1","O. P.-Cambridge, 1879","0","","","1","0","0","0","Familiens største slægt men kun en art træffes i Europa. Arterne er små og har kugleformet krop, hvor den forreste del af bagkroppen buer ind over den bagerste del af rygskjoldet. Den kugleformede kropsbygning får slægtens medlemmer til at minde om små udgaver af kugleedderkopper (Theridiidae). De fire midterøjne danner en trapez som er længere end bred. De bagerste midterøjne er noget større end de bagerste sideøjne. Afstanden mellem de bagerste midterøjne er betydelig mindre end afstanden mellem et midterøje og et sideøje. Brystpladen (sternum) er bredt afrundet bagtil. Labium er meget bredere end lang. Femur I flere gange tykkere end femur IV.","Largest genus of the family but only one species is known from europe. Most species are less than 3 mm The globular abdomen greatly overhangs the posterior parts of the carapace. The species resemble small members of the Theridiidae. The median ocular trapezium is longer than broad. The posterior medial eyes are larger than the posterior laterals. The distance between the posterior medial eyes are shorter than the distance between a median and a lateral eye. The sternum is broadly truncated at rear. Labium is much broader than wide. Femur I is several times thicker than femur IV.","","","","","","","","","","",""
"33","2","22","Tetragnatha","24","Latreille, 1804","0","Stav-edderkopper","Longjawed orb weavers, stretch spiders","1","1","1","1","","The  abdomen is elongate and slender usually two or three times as long as wide. The lateral eyes of each row are not contiguous. The chelicerae are long and divergent and the fang furrows are provided with long rows of large teeth. The legs are very long and provided with spines.","","","","","","","","","","",""
"33","4","23","Meta","8","C. L. Koch, 1836","0","","","1","0","0","0","","","","","","","","","","","","",""
"33","1","24","Pachygnatha","9","Sundevall, 1823","0","Tykkæber","Thickjawed orb weavers","1","0","0","1","","","","","","","","","","","","",""
"18","1","25","Zora","12","C. L. Koch, 1847","0","","","1","0","0","0","Edderkopperne i denne slægt har smalt hoved med en kompakt øjengruppe placeret i et sort felt. De to øjenrækker er stærkt tilbagebøjede. Benpar I og II har parrede torne, en karakter der er til fælles med Liocraniderne. Slægtens arter er ret ens i udseende, med en gullig grundfarve og to brede, brune bånd som strækker sig tilbage fra hver af de laterale øjne i den bagerste øjenrække. Bagkroppen har en smal Y-formet tegning flankeret af pletter og irregulære linier. Bagkropsmønsteret er sammen med den stribede forkrop meget karakteristisk for slægtens medlemmer. De to danske arter kan adskilles med hjælp fra en flora lup på breddeforholdet mellem de gule og brune laterale bånd på forkroppen, og på antal par ventrale torne på metatarsus I og II.","The spiders of this genus have a narrowed carapace at the front and a characteristic dark compact eye group with both eye rows strongly recurved. Paired ventral spines are present on legs I and II, just like in the Liocranidae. All species are similar in general appearance, the general colour is yellow with a wide brown band extending back from each posterior lateral eye. The abdomen has a thin Y-shaped brown marking flanked by spots and irregular lines, overall the markings being very distinctive for the genus.","","","","","","","","","","",""
"19","1","26","Anyphaena","6","Sundevall, 1833","0","","","1","0","0","1","Øjne er ovale og lyse, pånær forreste midterøjne som er runde og mørke.","The eyes are oval and pearly, except the anterior medials which are dark and circular.","","","","","","","","","","",""
"20","1","27","Micrommata","7","Latreille, 1804","0","","","1","0","0","0","Slægten er karakteriseret ved at forkroppen er længere end bred, og indsnævret ved hovedet. Bagkrop langstrakt. Den forreste øjenrække er tilbagebøjet mens den bagerste er let fremadbøjet. Labium lille og halvcirkelformet. Længden af benpar IV kun lidt længere end længden af de øvrige benpar. De er lurejægere som sidder og venter på byttet i lav vegetation. Scopulae på tarsus og metatarsus er veludviklede og giver edderkopperne en fantastisk fasthæftningsevne til glatte overflader.","The species of the genus have an unmistakable appearance. The carapace is longer than broad and narrowed in the head region. The abdomen is elongate. The anterior row of eyes is recurved while the posterior row is straight or slightly procurved. The labium is small and semicircular. The lenght of legs IV are the longest, but are just slighly longer than legs I - III. They are not active hunters, but wait in the vegetation for prey to pass by and to be grabbed. The scopulae of tarsi and metatarsi are well developed, and provide excellent adherence to slippery substrates.","","","","","","","","","","",""
"21","1","28","Thomisus","9","Walckenaer, 1805","0","","","0","0","0","0","Kroppen er tydeligt trekantet, bredest bagtil hvor bagkroppen er næsten lige afskåret. Øjnene sidder på en ambolt-formet udvækst.","The abdomen is distinctly triangular, truncated at the widest point at the rear . The eyes sits on an anvil shaped protuberance.","","","","","","","","","","",""
"21","2","29","Pistius","1","Simon, 1875","0","","","1","0","0","0","","","","","","","","","","","","",""
"21","3","30","Tmarus","7","Simon, 1875","0","","","0","0","0","0","","","","","","","","","","","","",""
"21","4","31","Misumena","4","Latreille, 1804","0","","Flower crab spiders","1","0","0","0","Forkrop næsten uden torne. De fire midterste øjne danner et kvadrat. De laterale øjne sidder på små fælles udvækster. Bagkroppen er rundt trekantet og bredest bagtil især hos hunnen. Benpar I og II er meget længere ned benpar III og IV. Benpar I hos hunnen har på tibia og metatarsus I mindst seks, henholdvis mindst syv par torne","The carapace is almost without spines. The eyes are small with the medials forming a square. Lateral eyes on small confluent tubercles. The abdomen is triangular, but rounded at corners. It is  widest at the rear, but this is less pronounced for the male. Legs I and II are much longer than legs III and IV. Legs I of the female have tibia and metatarsi furnished with paired robust spines. At least six pairs are present on the tibia and at least seven pairs are present on the metatarsi.","","","","","","","","","","",""
"21","6","33","Runcinia","1","Simon, 1875","0","","","0","0","0","0","","","","","","","","","","","","",""
"21","7","34","Synema","7","Simon, 1864","0","","","0","0","0","0","Forkrop set forfra stærkt konveks. De forreste laterale øjne er større end de bagerste laterale, og sidder på større forhøjninger. Ingen arter i Danmark.","Carapace when viewed from in front strongly convex. Anterior lateral eyes larger than posterior laterals and on larger tubercles.","","","","","","","","","","",""
"21","8","35","Diaea","3","Thorell, 1869","0","","","1","0","0","0","Rygskjold med lange, fremadrettede torne. De midterste øjne udgør en firkant, som er lidt længere end bred. Bagkrop oval, bredest bagtil, og spredt beklædt med lange hår.","Carapace with long forward-directed spines. The medial eyes form a rectangle slightly longer than broad. The abdomen is oval and dilated at rear, and with some coverage of long hairs.","","","","","","","","","","",""
"21","9","36","Heriaeus","8","Simon, 1875","0","","","0","0","0","0","Arterne i <i>Heriaeus</i> slægten er kendetegnet ved den overvejende grønne farve, de karakteristiske lange hvide hår og børster, samt at øjnene sidder på hvide ringe. Ingen af arterne kendes fra Danmark.","The species of the <i>Heriaeus</i> genus are similar general appearance: green colour, long white hairs and white rings around the eyes.","","","","","","","","","","",""
"21","10","37","Coriarachne","1","Thorell, 1870","0","","","1","0","0","0","Arterne i denne slægt har for- og bagkrop ekstremt affladiget. Rygskjoldet med v-formet fure som udgår fra fovea, og som afgrænser hovedet fra resten af forkroppen. Den forreste øjenrække er ret eller svagt tilbagebøjet.","The species of this genus have the carapace and the abdomen very flat. The cervical groove is well indicated, and extends forward from the fovea as a v-shaped depression outlining the head from the thoraric region. Anterior eye row straight or slightly recurved.","","","","","","","","","","",""
"21","11","38","Xysticus","103","C. L. Koch, 1835","0","","Ground crab spiders","1","1","1","1","Mellemstore, krabbelignende edderkopper. Farverne spænder fra forskellige nuancer af brun og grå med hvide eller gule mønstre, hannerne som regel noget mørkere og mere kontrastrige i tegningerne. Forkroppen  typisk med brede mørke bånd. De midterste lyse bånd indeholder en mørkere trekant bagved den bagerste øjenrække. Forkroppen er armeret med lange sorte hår/torne der er runde, til forskel fra den lignenede slægt, <i>Ozyptila</i>, hvor hårene er flade (claveate).  De midterste øjne udgør tilnærmelsesvis et kvadrat,  som er en anelse bredere end lang. De laterale øjne i den forreste øjenrække er klart større end de øvrige arter, og sidder på tubercler (udvækster) som er adskilt fra hinanden. Bagkrop er bredest bagtil og typisk med folium (bugtet bånd) på oversiden, og nogle tværgående streger bagerst. Benene er korte, kraftige og med kraftige torne. De fleste arter er lurejægere i lav vegetation, mens andre kan findes i førn, under sten og bag bark.","These spiders are medium sized and crablike. Most species are in various shades of brown and grey with patterns made of  white and yellow blotches and bars. Males are often darker than females and with more vivid tints. The carapace is brownish with central whitish-yellow band enclosing a darker triangle behind the posterior eyes and pointing backwards. The carapace is armed with long black spines which are round, Hereby they differ from the related genus, <i>Ozyptila</i> which have short blunt or clavate spines. The median ocular trapezium forms almost a square or is slightly wider than long. The anterior lateral eyes are clearly larger than the rest, the lateral eyes of both rows on independent tubercles. The abdomen is wider at rear bearing a folium dorsally and usually with white blotches and transverse bars. The legs are short, stout and spiny. Most species ambush prey on low vegetation, while others are found in leaf litter, under stones and bark.","","","","","","","","","","",""
"21","12","39","Ozyptila","39","Simon, 1864","0","Jordkrabbeedderkopper","Leaflitter crab spiders","1","1","0","0","Mange af arterne i denne slægt har farvetegninger, der kan minde om farvetegningerne hos <i>Xysticus</i> slægtens arter. <i>Ozyptila</i> arterne er dog generelt mindre, har kun to par torne ventralt på tibia I og II, de mediære øjne danner et rektangel som er længere end bred, og kroppen hos nogle arter er beklædt med clavate setae (flade hår). Sidstnævnte brækker forholdsvis let af og kan derfor mere eller mindre mangle. Hos nogle arter er setae så små at de kan være vanskelige at se med en lup. Hovedet er noget fremspringende fra thorax. Femur I er ofte ret opsvulmet på prolateral side. Bagkrop i øvrigt uden bladtegning (folium) men med tværbånd og pletter. Arterne findes tæt ved jordovefladen i lav vegetation, under sten, i førn og i revner i jord, træ, mure undertiden også under bark. De bevæger sig meget langsomt rundt, og kan spille død i lang tid ved forstyrrelse. Nogle arter er beklædt med jordpartikler.","The members of this genus have colours and markings that make them resemble species of the <i>Xysticus</i> genus. However, they differ by being smaller, by having the median ocular trapezium longer than broad and by having the head protruded from thorax so that the carapace appear less circular. In addition they have only two pairs of ventral spines on tibia I and II, and the body is clothed with clavate hairs. These break off  fairly easily, and may therefore be lacking. In some species the setae are very small and difficult to see with a lens. The abdomen is without a folium but with spots and transverse bars. Femur I is often swollen on prolateral side. Legs III and IV are only slightly shorter than I and II. Males are usually darker than females and more compactly bodied. This is in contrast to most other spider species where males usually are more slender and long-legged compared to females.","","The species are ambush hunters found at ground-level amongst low vegetation, in leaf litter, detritus and in crevices in soil, rocks, wood, walls, sometimes also behind bark. At night they may be found higher up in the vegetation indicating a nocturnal lifestyle. They move around very slowly, and may play dead for a long time if disturbed. Some species are covered with dirt. The females attach their egg sacks under stones or other objects on the ground.
","","","","The species are ambush hunters found at ground level amongst low vegetation, in leaf litter, detritus and in crevices in soil, rocks.  At night they may be found higher up in the vegetation indicating a nocturnal lifestyle. They move around very slowly, and may play dead for a long time if disturbed. The females attach their egg sacks under stones or other objects on the ground.
","","","","",""
"41","13","40","Philodromus","56","Walckenaer, 1826","0","","","1","0","0","0","Edderkopperne i denne slægt har en påfaldende flad krop, og en særpræget benstilling, hvor benene ofte holdes næsten helt udstrakte i et fladt plan. Den bagerste øjenrække er tilbagebøjet, og afstanden mellem de midterste øjne er ca. halvanden gang afstanden mellem de midterste og de laterale øjne. De fleste arter er knyttet tl vegetation, hvor de kan bevæge sig hurtigt omkring, og hvor den flade krop giver mulighed for at gemme sig i revner og under bark. Nogle arter er godt camouflerede, og kan være vanskelige, at få øje på hvis de ikke bevæger sig, mens andre arter er ret iøjnefladende, selv når de ikke bevæger sig.","The spiders of this genus have flattened bodies, and latigrade legs that often are held very close to the substrate such as all segments appear as being in the same plane. Most species have relatively short abdomens, only slightly longer than broad and with the widest point behind midway. In this respect they resemble many species of the Thomisidae. The posterior row of eyes is recurved and the distance between the medial eyes is about 1.5 times the distance between a median and a lateral eye. Most species live on plants on which they are able to move around rapidly, their flat bodies enable them to hide under bark. Some species are extremely well camouflaged and almost impossible to spot unless they move. Other species are qiute conspiceous even when motionless.","","","","","","","","","","",""
"41","14","41","Thanatus","32","C. L. Koch, 1837","0","","","1","0","1","0","Arterne i denne slægt har en aflang oval bagkrop med tydeligt hjertemærke. Bagkroppen er ikke tydeligt affladiget som de øvrige krabbe- og løbekrabbeedderkopper. Benstillingen er ikke tydelig laterigrad, dvs. drejet fremad så leddene bøjer i plan med kroppen som hos mange af de øvrige krabbe- og løbekrabbeedderkopper. Derfor kan de godt minde lidt om jagtedderkopper, men afviger ved at  øjnene størrelsesmæssigt er ret ens og har en anderledes placering. <i>Thanatus</i> afviger fra <i>Philodromus</i> ved at benpar IV er længst, og ved at den bagerste øjenrække er stærkt tilbagebøjet. Den forreste øjenrække er ret kort. Øjnene i den bagerste række sidder med nogenlunde ens afstand. Forkrop og bagkrop uden mørk midtstribe som hos <i>Tibellus</i>.","The members of this genus have oval, sligthly elongate abdomens with a clear cardiac mark. The abdomen is the least flattened among the crab and running crab spiders and the legs are the least laterigrade. Therefore they bear some resemblance to the wolf spiders (Lycosidae), but they eyes are quite different. Species of <i>Thanatus</i> differ from species of <i>Philodromus</i> by having legs IV the longest and the strongly recurved posterior row of eyes. The anterior row is short. Eyes of the posterior row are almost uniformly spaced. The carapace and abdomen is without a dark longitudinal band.","","","","","","","","","","",""
"41","15","42","Tibellus","8","Simon, 1875","0","","Slender crab spiders","1","0","0","0","Slægten består af aflange, smalle edderkopper med lange ben som er knyttet til græsser, siv og andre urter. De er ikke altid lette at få øje på, da den stribede, stråfarvede krop holdes tæt ind mod stængler, mens benene holdes udstrakt foran og bagved kroppen, med undtagelse af det tredje benpar som omklamrer stænglen. I Danmark findes to ret variable arter, der kan være vanskelige at adskille alene på udseende. Da arterne kun overlapper lidt i habitat, vil man som regel kunne sætte det rigtige artsnavn på, men skal man være helt sikker må man undersøge palper og epigyner under stereolup. De kan godt minde lidt om stavedderkopper (Tetragnathidae), som også udstrækker benene for at camouflere sig selv på stængler, men <i>Tibellus</i> arterne har betydeligt mindre kæber og anderledes øjne.","Distinctive spiders with elongate, slender bodies and long legs. They inhabit grasses, sedges and other herbs. They are not easy to detect when they rest on a dried grass stem because their striped, straw coloured body is held close to the stem, and the legs are stretched out to the front and back. It is not possible to separate the species alone by the general appearance. As the species also overlap somewhat in habitat examination of the genitialia under a microscope is sometimes necessary for reliable identification. It should be noted that they resemble species of Tetragnathidae, which also have the habit of stretching themselves along stems and twigs. However, these spiders have much larger chelicerae and different eyes.","","","","","","","","","","",""
"22","1","43","Salticus","39","Latreille, 1804","0","","","1","0","0","1","","","","","","","","","","","","",""
"22","2","44","Heliophanus","39","C. L. Koch, 1833","0","","","1","0","0","1","Arterne i denne slægt har for det meste tydelig metalglans i grønne, violette eller kobberfarvede nuancer. Grundfarven er mørk, ofte sort men nogle arter har undertiden hvide hårkanter langs bagkroppens forkant og sider, og 2-4 hvide hårpletter typisk bagerst på bagkroppen. Nogle hunner har lyse palper i stærk kontrast til den ellers mørke farve. Hannerne har mørke palper, som dog ofte er beklædt med hvide hårtotter. Nogle arter har lyse ben, mens andre har mørke ben med striber af hvide hår.","These are dark, blackish spiders, usually with metallic sheen in green, violet or coppery colours. Some species are furnished with white bands or spots on the abdomen composed of white squamose hairs. The palps of the females are ligth brown in contrast to the overall dark appearance of the spider. The male palps are dark but furnished with white squamose hairs on forward directed surfaces. Some species have legs in light yellow colours while other have dark legs with white squamose hairs.","","","","","","","","","","",""
"22","3","45","Marpissa","5","C. L. Koch, 1846","0","","","1","0","0","0","Slægtens arter er kendetegnet ved, at bagkroppen er aflang, og at det forreste benpar er tydeligt kraftigere end de øvrige.","The members of the genus are fairly large with rather flattened, elongate abdomens. Legs I are stouter than the remainder.","","","","","","","","","","",""
"22","4","46","Dendryphantes","9","C. L. Koch, 1837","0","","","1","0","0","0","","","","","","","","","","","","",""
"22","5","47","Eris","1","C. L. Koch, 1846","0","","","0","0","0","0","","","","","","","","","","","","",""
"22","6","48","Pellenes","19","Simon, 1876","0","","","1","0","0","0","","","","","","","","","","","","",""
"22","7","49","Pseudicius","9","Simon, 1885","0","","","0","0","0","0","","","","","","","","","","","","",""
"22","9","50","Ballus","8","C. L. Koch, 1850","0","","","0","0","0","0","Forkrop ret flad og med det højeste punkt bag lige bag øjnene. Bredden af den bagerste øjenrække er ca. 1.25 gange bredden af den forreste.","The carapace is rather flat with the highest point is just behind the eyes. The width of the posterior row of eyes is about 1.25 times the width of the anterior row.","","","","","","","","","","",""
"22","10","51","Neon","10","Simon, 1876","0","","","1","0","0","1","Slægten består af små arter, som ret nemt bestemmes til slægtsniveau, grundet de relativt store udstående øjne i den bagerste øjenrække, der endvidere er placeret langt tilbage (bag midten) på forkroppen. Hunnerne har store epigyner i forhold til kropsstørrelsen.","Small spiders which are fairly easily identified to genus-level due to the relatively large protuberant posterior eyes situated rather far back on the carapace. The epigynes of the females are large compared to the size of the spider.","","","","","","","","","","",""
"22","11","52","Sibianor","3","Logunov, 2001","0","","","1","0","0","0","","","","","","","","","","","","",""
