"PhotoId","RefId","SpeciesId","LocID","SubjectDK","SubjectUK","Filename","IsFO","IsGL","IsGR","IsAZ","IsPS","TimeStamp"
"51","1066","253","133","Juvenil","Juvenile","Pictures\Dolomedes_plantarius_juv_152.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"52","1978","203","113","Han","Male","Pictures\Synageles_venator_han_212_213_214_215.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"53","1672","1874","15","Han","Male","Pictures\Clubiona_stagnatilis_han_217.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"54","1618","251","191","Juvenil","Juvenile","Pictures\Pisaura_mirabilis_juv_inset_303.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"55","1671","367","15","Hun","Female","Pictures\Ero_furcata_hun_221.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"56","2096","104","129","Han","Male","Pictures\Pachygnatha_listeri_han_381.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"57","2093","366","129","Han","Male","Pictures\Ero_cambridgei_han_374.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"58","2099","577","129","Han","Male","Pictures\Centromerus_incilium_han_377.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"59","2100","126","129","Hun","Female","Pictures\Xysticus_erraticus_hun_373.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"60","1640","275","120","Han","Male","Pictures\Cryphoeca_silvicola_han_350.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"61","1638","684","120","Han","Male","Pictures\Segestria_senoculata_han_352.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"62","1761","618","136","Hun","Female","Pictures\Tenuiphantes_tenuis_hun_331.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"63","1662","157","109","Juvenil","Juvenile","Pictures\Thanatus_striatus_juv_203.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"64","1592","1110","43","Unger","Spiderlings","Pictures\Atypus_affinis_juv_184.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"65","1669","98","50","Hun","Female","Pictures\Metellina_segmentata_hun_179.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"66","1751","110","191","Subadult han","Subadult male","Pictures\Anyphaena_accentuata_juv_294.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"67","1846","110","104","Hun med ægsæk","Female with egg sack","Pictures\Anyphaena_accentuata_hun_036.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"68","1657","307","174","Hun","Female","Pictures\Singa_hamata_hun_033.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"69","1628","56","132","Hun","Female","Pictures\Clubiona_lutescens_hun_034.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"70","1646","93","66","Hun","Female","Pictures\Tetragnatha_montana_hun_054.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"71","2060","27","104","Hun","Female","Pictures\Zelotes_subterraneus_hun_073.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"72","2064","290","104","Han","Male","Pictures\Larinioides_patagiatus_han_391.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"73","1798","370","104","Han","Male","Pictures\Episinus_angulatus_han_044.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"74","1637","56","196","Han","Male","Pictures\Clubiona_lutescens _ han_012.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"75","1636","262","196","Subadult han","Subadult male","Pictures\Malthonica_ferruginea_subhan_014.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"76","1653","162","194","Hun","Female","Pictures\Tibellus_oblongus_hun_006.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"77","1737","309","125","Hun","Female","Pictures\Zygiella_xnotata_hun_168.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"78","2103","111","136","Han","Male","Pictures\Micrommata_virescens_han_118.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"79","2103","111","136","Han","Male","Pictures\Micrommata_virescens_han_119.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"80","2110","175","109","Hun","Female","Pictures\Marpissa_nivoyi_hun_187.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"81","88","252","14","Hun","Female","Pictures\Dolomedes_fimbriatus_hun_415.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"82","1617","893","198","Juvenil","Juvenile","Pictures\Uloborus_plumipes_juv_402.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"83","1647","652","77","Han","Male","Pictures\Amaurobius_similis_han_404.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"84","1642","89","197","Subadult han","Subadult male","Pictures\Nesticus_cellulanus_subhan_409.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"85","1588","89","199","Subadult han","Subadult male","Pictures\Nesticus_cellulanus_subhan_421.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"86","1644","952","197","Han","Male","Pictures\Megalepthyphantes_nebulosus_han_435.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"87","1644","952","197","Hun","Female","Pictures\Megalepthyphantes_nebulosus_hun_412.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"88","1645","53","197","Hun","Female","Pictures\Clubiona_terrestris_hun_430.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"89","1645","53","197","Hun","Female","Pictures\Clubiona_terrestris_hun_433.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"90","1641","263","197","Hun","Female","Pictures\Tegenaria_agrestis_hun_431.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"91","1587","596","199","Hun","Female","Pictures\Bathyphantes_gracilis_hun_422.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"92","1578","276","200","Hun","Female","Pictures\Antistea_elegans_hun_417.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"93","1578","276","200","Hun","Female","Pictures\Antistea_elegans_hun_419.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"94","1575","286","200","Hun","Female","Pictures\Nuctenea_umbratica_hun_416.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"95","1575","286","200","Hun","Female","Pictures\Nuctenea_umbratica_hun_418.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"96","865","397","66","Hun med ægsæk","Female with egg sack","Pictures\Seycellocesa_vittatus_hun_443_444.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"97","1945","193","93","Han og hun","Male and female","Pictures\Sitticus_floricola_han_116_hun_114.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"98","1992","635","193","Hun","Female","Pictures\Linyphia_triangularis_hun_260.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"99","1635","263","134","Ægkokoner fra to hunner - en enlig kokon til venstre og en gruppe på tre kokoner til højre som er løst sammenspundne.","Egg sacks from two different females - a single sac and a group of three spun together by a few light strands.","Pictures\Tegenaria_agrestis_coc_376.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"100","2359","687","38","Hun","Female","Pictures\Pholcus_phalangoides_hun_474.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"101","2358","1874","109","Han","Male","Pictures\Clubiona_stagnatilis_han_458.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"102","2358","1874","109","Hun","Female","Pictures\Clubiona_stagnatilis_hun_461.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"103","2357","336","109","Hun","Female","Pictures\Walckenaeria_unicornis_hun_462.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"104","2357","336","109","Han","Male","Pictures\Walckenaeria_unicornis_han_467.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"105","2356","409","77","Han","Male","Pictures\Theridion_mystaceum_han_479.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"106","2354","98","112","Hun","Female","Pictures\Metellina_segmentata_hun_464.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"107","2352","257","79","Hun","Female","Pictures\Tetrix_denticulata_hun_475.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"108","2345","157","211","Juvenile","Juveniles","Pictures\Thanatus_striatus_juv_445.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"109","2343","99","211","Han","Male","Pictures\Metellina_mengei_han_484.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"110","2343","99","211","Han","Male","Pictures\Metellina_mengei_han_487.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"111","2342","637","211","Subadult hun","Subadult female","Pictures\Neriene_montana_subhun_489.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"112","2341","568","211","Han","Male","Pictures\Microneta_viaria_han_481.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"113","2340","593","211","Hun","Female","Pictures\Macrargus_rufus_hun_481.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"114","2340","593","211","Hun","Female","Pictures\Macrargus_rufus_hun_490.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"115","2339","297","109","Hun","Female","Pictures\Cercidia_prominens_hun_446.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"116","1796","156","104","Subadult hun","Subadult female","Pictures\Philodromus_margaritatus_subhun_449.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"117","1617","893","198","Juvenil","Juvenile","Pictures\Uloborus_plumipes_469.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"118","2333","490","211","Han","Male","Pictures\Erigonella_hiemalis_han_483.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"119","2353","279","129","Subadult han","Subadult male","Pictures\Gibbaranea_omoeda_subhan_359.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"120","775","279","104","Subadult han","Subadult male","Pictures\Gibbaranea_omoeda_juvhan_140_141.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"121","1989","236","193","Hun","Female","Pictures\Arctosa_perita_hun_268.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"122","2361","280","104","Juvenile","Juveniles","Pictures\Araneus_angulatus_juv_147_171.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"123","770","280","104","Subadult han","Subadult male","Pictures\Araneus_angulatus_juv_139.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"124","913","316","119","Hun","Female","Pictures\Argiope_bruennichi_hun_145.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"125","913","316","119","Kokon","Cocoon","Pictures\Argiope_bruennichi_kokon_144.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"126","1907","1111","186","Han","Male","Pictures\Atypus_piceus_han_086.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"127","1796","156","104","Subadult hun","Subadult female","Pictures\Philodromus_margaritatus_juv_206.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"128","1926","118","201","Hun","Female","Pictures\Synaema_globulosum_hun_101.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"129","1731","675","209","Han og hun","Male and female","Pictures\Uloborus_walckenarius_091_083.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"130","1670","231","180","Hun","Female","Pictures\Alopecosa_fabrilis_hun_016.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"131","2369","13","38","Hun","Female","Pictures\Scotophaeus_blackwalli_hun_492.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"132","2369","13","38","Hun","Female","Pictures\Scotophaeus_blackwalli_hun_495.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"133","2368","439","37","Hun","Female","Pictures\Oedothorax_apicatus_hun_498.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"134","1513","261","160","Han","Male","Pictures\Tegenaria_parietina_han_497.jpg","0","0","0","1","0","20-06-2005 18:28:27"
"135","2370","621","109","Han","Male","Pictures\Tenuiphantes_mengei_han_453.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"136","2377","595","212","Hun","Female","Pictures\Bathyphantes_approximatus_hun_518.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"137","2383","607","212","Han","Male","Pictures\Taranucnus_setosus_han_503.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"138","2383","607","212","Han","Male","Pictures\Taranucnus_setosus_han_502.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"139","2373","307","212","Hun","Female","Pictures\Singa_hamata_hun_505.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"140","2378","586","212","Hun","Female","Pictures\Tallusia_experta_hun_517.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"141","2380","580","212","Han","Male","Pictures\Centromerus_arcanus_han_510.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"142","2382","357","212","Han","Male","Pictures\Hypomma_bituberculatum_han_515.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"143","2382","357","212","Han","Male","Pictures\Hypomma_bituberculatum_han_514.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"144","2384","367","212","Hun","Female","Pictures\Ero_furcata_hun_511.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"145","2439","318","215","Han","Male","Pictures\Ceratinella_brevis_han_550_552.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"146","2418","274","213","Juvenil","Juvenile","Pictures\Cicurina_cicur_juv_529.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"147","2418","274","213","Juvenil","Juvenile","Pictures\Cicurina_cicur_juv_528.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"148","2426","111","215","Subadult han","Subadult male","Pictures\Micrommata_virescens_subhan_543.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"149","2434","639","215","Han","Male","Pictures\Neriene_peltata_han_547.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"150","2428","966","215","Han","Male","Pictures\Pardosa_saltans_han_545.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"151","2420","591","213","Hun","Female","Pictures\Saaristoa_abnormis_hun_535.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"152","2448","260","38","Hun","Female","Pictures\Tegenaria_atrica_hun_523.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"153","2448","260","38","Hun","Female","Pictures\Tegenaria_atrica_hun_524.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"154","2433","615","215","Han","Male","Pictures\Tenuiphantes_alacris_han_549.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"155","2419","623","213","Han","Male","Pictures\Tenuiphantes_tenebricola_han_538.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"156","2427","234","215","Hun","Female","Pictures\Trochosa_terricola_hun_557.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"157","2415","295","216","Hun","Female","Pictures\Agalenatea_redii_hun_576.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"158","2399","228","43","Han","Male","Pictures\Alopecosa_pulverulenta_han_573.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"159","2436","598","215","Han","Male","Pictures\Bathyphantes_nigrinus_han_562.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"160","2406","658","216","Han","Male","Pictures\Dictyna_arundinacea_han_588.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"161","2398","940","43","Subadult hun","Subadult female","Pictures\Eresus_sandaliatus_juv_592.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"162","2398","940","43","Subadult hun","Subadult female","Pictures\Eresus_sandaliatus_juv_594.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"163","2401","242","216","Han","Male","Pictures\Pirata_piscatorius_han_577.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"164","2407","95","216","Juvenil","Juvenile","Pictures\Tetragnatha_nigrita_juv_575.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"165","2440","568","215","Hun","Female","Pictures\Microneta_viaria_hun_564.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"166","1589","940","182","Spind","Web","Pictures\Eresus_sandaliatus_spind_065.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"167","1987","156","193","Han","Male","Pictures\Alopecosa_fabrilis_han_264.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"168","1149","47","127","Hun","Female","Pictures\Clubiona_subsultans_hun_173.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"169","2504","676","104","Subadult han","Subadult male","Pictures\Hyptiotes_paradoxus_subhan_540.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"170","2470","290","147","Hun","Female","Pictures\Larinoides_patagiatus_hun_605.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"171","2474","315","147","Hun","Female","Pictures\Mangora_acalypha_hun_602.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"172","1617","893","198","Han","Male","Pictures\Uloborus_plumipes_han_597.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"173","2468","126","147","Han","Male","Pictures\Xysticus_erraticus_han_599.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"174","2452","687","38","Hun","Female","Pictures\Pholcus_phalangioides_hun_med_unger_569.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"175","2435","105","215","Han","Male","Pictures\Pachygnatha_degeeri_han_559.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"176","2467","295","147","Han","Male","Pictures\Agalenatea_redii_han_647.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"177","2478","652","77","Hun","Female","Pictures\Amaurobius_similis_hun_632.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"178","2457","252","221","Han","Male","Pictures\Dolomedes_fimbriatus_han_614.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"179","2469","198","147","Han","Male","Pictures\Evarcha_falcata_han_643.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"180","2497","40","219","Hun","Female","Pictures\Micaria_pulicaria_hun_616.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"181","2483","111","127","Subadult hun","Subadult female","Pictures\Micrommata_virescens_subhun_628.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"182","2483","111","127","Subadult hun","Subadult female","Pictures\Micrommata_virescens_subhun_631.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"183","2488","638","127","Hun","Female","Pictures\Neriene_clathrata_hun_612.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"184","2475","637","220","Han","Male","Pictures\Neriene_montana_han_621.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"185","2481","208","127","Han","Male","Pictures\Oxyopes_ramosus_han_609.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"186","2481","208","127","Han","Male","Pictures\Oxyopes_ramosus_han_610.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"187","2503","142","157","Hun","Female","Pictures\Ozyptila_atomaria_hun_624.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"188","2479","139","66","Juvenil","Juvenile","Pictures\Ozyptila_praticola_juv_645.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"189","2480","251","127","Han","Male","Pictures\Pisaura_mirabilis_han_625.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"190","2480","251","127","Han","Male","Pictures\Pisaura_mirabilis_han_626.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"191","2476","386","220","Han","Male","Pictures\Steatoda_bipunctata_han_619.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"192","2476","386","220","Hun","Female","Pictures\Steatoda_bipunctata_hun_617.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"193","2468","126","147","Han","Male","Pictures\Xysticus_erraticus_han_651.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"194","2531","229","96","Hun","Female","Pictures\Alopecosa_cuneata_hun_676.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"195","2531","229","96","Hun","Female","Pictures\Alopecosa_cuneata_hun_679.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"196","2521","238","229","Han","Male","Pictures\Arctosa_cinerea_han_675.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"197","2521","238","229","Hun","Female","Pictures\Arctosa_cinerea_hun_672.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"198","2521","238","229","Hun","Female","Pictures\Arctosa_cinerea_hun_674.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"199","2524","671","229","Hun","Female","Pictures\Argenna_subnigra_hun_656.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"200","2524","671","229","Hun","Female","Pictures\Argenna_subnigra_hun_657.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"201","2455","291","104","Hun","Female","Pictures\Atea_sturmi_hun_707.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"202","2530","969","226","Hun","Female","Pictures\Sitticus_saltator_hun_746.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"203","2530","969","226","Han","Male","Pictures\Sitticus_saltator_han_749.jpg","0","0","0","0","0","20-06-2005 18:28:27"
"204","2530","969","226","Han","Male","Pictures\Sitticus_saltator_han_750.jpg","0","0","0","0","0","20-06-2005 18:28:27"
